psraid,sample,state,cregion,usr,pial1a,pial1b,pial1c,pial1d,pial1e,pial2,pial3a,pial3b,pial3c,pial4,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
100274,1,12,3,S,1,2,1,2,2,1,2,2,2, ,3,2,1,99,9,2,1,99,4.29268292682927,1.43120823298223
100275,1,18,2,S,1,2,1,2,1,2,1,2,2, ,2,2,2,56,5,2,1,6,3.1219512195122,1.04087871489617
100283,1,12,3,R,1,2,2,2,2,8,2,2,2, ,3,2,2,75,1,2,2,3,1.58536585365854,.528571222408209
100284,1,12,3,U,1,1,1,1,2,1,1,2,2, ,3,2,1,65,3,2,1,3,1.97560975609756,.65868106177023
100295,1,39,2,S,1,2,2,1,1,1,1,2,2, ,1,2,1,50,6,2,1,99,2.65853658536585,.886373280653766
100298,1,18,2,S,2,2,2,2,2, , , , , ,3,2,2,90,4,2,1,99,4.68292682926829,1.56131807234425
100308,1,30,4,U,1,2,2,2,2,8,2,2,2, ,2,2,2,75,8,2,5,3,1,.333406463365178
100310,1,50,1,R,2,2,2,2,2, , , , , ,3,2,2,85,3,2,1,2,1.4390243902439,.479780032647451
100312,1,29,2,S,1,2,2,2,2,2,1,2,2, ,2,2,2,56,6,2,1,99,2.26829268292683,.756263441291746
100314,1,4,4,S,1,2,2,2,2,1,2,2,2, ,1,2,1,49,3,2,1,7,2.31707317073171,.772527171211998
100315,1,23,1,S,1,2,2,2,2,1,2,2,2, ,1,2,2,33,8,2,1,99,3.34146341463415,1.1140654995373
100322,1,16,4,R,1,2,2,2,2,2,1,2,2, ,3,2,2,69,4,2,1,4,1.4390243902439,.479780032647451
100326,1,8,4,U,1,1,1,2,1,1,2,2,2, ,3,2,1,72,6,2,1,9,1.19512195121951,.398461383046189
100330,1,22,3,R,1,2,1,1,2,2,2,2,2, ,3,2,1,73,3,9,1,6,2.31707317073171,.772527171211998
100333,1,6,4,S,1,2,2,1,2,2,1,2,2, ,1,1,1,40,8,1,2,8,2.17073170731707,.72373598145124
100334,1,4,4,U,2,2,2,2,2, , , , , ,2,2,1,53,3,2,1,1,5.14634146341463,1.71582350658665
100340,1,35,4,R,1,2,2,1,1,1,1,1,2, ,1,1,2,46,3,1,1,3,5.04878048780488,1.68329604674614
100343,1,35,4,R,1,2,2,2,2,1,1,1,1,4,2,2,2,18,4,1,1,1,1.34146341463415,.447252572806946
100344,1,48,3,U,1,2,1,1,2,1,2,2,2, ,3,2,1,71,4,1,1,5,3,1.00021939009553
100352,1,19,2,S,2,2,2,2,2, , , , , ,3,2,1,63,5,2,1,4,3.4390243902439,1.14659295937781
100353,1,53,4,S,1,2,2,2,1,1,1,1,1,1,1,1,2,48,4,2,1,99,4.1219512195122,1.37428517826134
100357,1,36,1,U,2,2,2,2,1, , , , , ,1,2,1,51,6,2,2,5,6.58536585365854,2.1956035392341
100361,1,9,1,S,1,1,1,2,1,1,2,2,1,4,1,1,1,30,6,2,1,7,2.26829268292683,.756263441291746
100363,1,37,3,R,1,2,1,1,1,2,1,2,2, ,1,1,1,32,3,2,2,5,2.70731707317073,.902637010574019
100374,1,21,3,R,2,2,1,2,1, , , , , ,2,2,1,62,8,2,1,99,3.4390243902439,1.14659295937781
100376,1,36,1,S,1,2,2,2,2,1,2,2,2, ,1,2,2,63,7,2,1,7,2.36585365853659,.788790901132251
100377,1,53,4,U,1,2,2,2,2,1,2,2,2, ,1,2,2,66,6,2,1,9,1.1219512195122,.37406578816581
100378,1,4,4,U,1,2,1,2,2,2,2,2,2, ,1,2,2,99,6,2,1,6,1.1219512195122,.37406578816581
100380,1,4,4,S,1,1,1,2,2,1,1,2,2, ,3,2,2,74,6,2,1,99,1.1219512195122,.37406578816581
100381,1,40,3,S,1,2,2,1,2,8,2,2,2, ,3,2,2,77,3,2,1,3,2.41463414634146,.805054631052503
100383,1,22,3,S,1,1,2,2,2,2,2,2,2, ,3,2,1,57,3,2,2,3,1.92682926829268,.642417331849977
100403,1,53,4,S,1,2,2,2,2,2,2,2,2, ,3,2,2,70,7,2,1,6,1.1219512195122,.37406578816581
100412,1,18,2,R,1,2,2,2,2,8,1,2,2, ,3,2,2,64,3,2,1,99,1.90243902439024,.634285466889851
100415,1,50,1,R,2,2,2,2,2, , , , , ,3,2,2,73,3,2,1,99,2.87804878048781,.959560065294903
100418,1,53,4,R,1,2,2,2,2,2,2,2,2, ,3,2,1,80,6,2,1,5,1,.333406463365178
100419,1,8,4,S,1,1,1,1,1,1,1,2,2, ,3,1,1,52,6,2,1,99,1.46341463414634,.487911897607578
100425,1,12,3,U,1,2,2,2,2,8,2,2,2, ,3,2,2,80,6,2,2,3,1,.333406463365178
100426,1,6,4,U,1,2,2,1,2,1,1,2,2, ,1,2,2,29,6,2,1,7,4,1.33362585346071
100441,1,4,4,S,1,2,2,2,1,2,2,2,2, ,1,1,2,99,3,1,6,3,1.73170731707317,.577362412168967
100448,1,48,3,S,1,2,2,2,2,2,2,2,2, ,3,2,1,69,4,2,1,5,1.8780487804878,.626153601929725
100456,1,29,2,S,2,2,2,2,2, , , , , ,3,2,2,81,5,2,1,1,2,.666812926730356
100462,1,1,3,R,1,1,9,2,2,2,2,2,2, ,1,1,2,52,4,2,1,6,4.19512195121951,1.39868077314172
100478,1,48,3,S,1,2,2,2,1,2,2,2,2, ,1,1,1,41,3,2,1,3,2.29268292682927,.764395306251872
100479,1,55,2,S,1,1,1,1,1,2,2,2,2, ,3,2,2,19,3,2,1,7,1.78048780487805,.59362614208922
100481,1,27,2,U,2,2,2,1,2, , , , , ,2,2,2,42,3,2,1,2,7.14634146341463,2.382636433317
100486,1,27,2,R,1,2,2,2,2,2,1,2,2, ,1,2,2,48,3,2,1,6,3.29268292682927,1.09780176961705
100490,1,48,3,S,2,2,2,2,2, , , , , ,3,2,2,82,1,1,1,1,3.36585365853659,1.12219736449743
100508,1,55,2,S,1,2,2,1,1,1,8,1,1,1,2,2,2,19,3,2,1,9,2.1219512195122,.707472251530988
100510,1,55,2,S,1,2,1,2,1,1,1,2,2, ,1,2,2,58,8,2,1,7,1.02439024390244,.341538328325304
100511,1,1,3,R,2,2,2,2,1, , , , , ,3,1,2,61,3,2,2,1,1.58536585365854,.528571222408209
100515,1,31,2,U,1,1,1,1,1,1,1,1,1,3,3,1,2,55,6,2,2,4,1.85365853658537,.618021736969599
100520,1,29,2,U,1,1,1,2,1,2,1,2,2, ,1,1,1,50,6,2,1,6,1.73170731707317,.577362412168967
100533,1,1,3,U,1,2,2,2,2,2,1,2,2, ,3,2,1,71,2,2,2,1,1.65853658536585,.552966817288588
100534,1,17,2,S,2,2,2,2,2, , , , , ,2,2,1,68,6,2,1,3,1.95121951219512,.650549196810104
100536,1,48,3,R,1,2,2,2,2,2,2,2,2, ,3,2,2,57,4,2,2,5,1.34146341463415,.447252572806946
100541,1,48,3,U,2,2,2,2,2, , , , , ,3,2,2,69,6,2,1,99,2.14634146341463,.715604116491114
100553,1,17,2,S,1,2,2,1,1,2,1,2,4, ,2,2,2,80,3,2,1,3,2.63414634146341,.87824141569364
100555,1,48,3,U,1,2,2,2,1,2,2,2,2, ,1,1,1,27,3,1,6,4,7.14634146341463,2.382636433317
100564,1,41,4,S,1,2,2,2,1,2,1,4,4, ,1,2,1,48,6,2,1,8,1.73170731707317,.577362412168967
100569,1,19,2,U,1,2,2,2,2,2,2,2,2, ,1,2,2,69,8,2,1,99,1,.333406463365178
100570,1,8,4,S,1,1,2,2,2,1,1,1,1,4,2,2,2,18,3,2,1,6,2.09756097560976,.699340386570862
100571,1,6,4,U,1,1,1,1,1,1,1,2,2, ,2,1,2,42,6,2,1,9,4.04878048780488,1.34988958338097
100573,1,48,3,U,2,2,2,2,2, , , , , ,3,2,1,84,3,2,1,1,2.5609756097561,.853845820813261
100574,1,41,4,S,2,2,2,2,2, , , , , ,3,2,2,90,4,2,1,99,1.39024390243902,.463516302727199
100578,1,49,4,S,1,2,2,2,2,2,1,2,2, ,3,2,2,75,5,2,1,3,1.4390243902439,.479780032647451
100582,1,20,2,R,2,2,2,2,2, , , , , ,3,2,1,58,2,2,1,99,4.14634146341463,1.38241704322147
100593,1,48,3,S,2,2,1,1,1, , , , , ,3,2,2,18,2,1,1,1,7.14634146341463,2.382636433317
100594,1,48,3,U,1,2,2,2,2,2,2,2,2, ,2,2,2,70,4,2,9,99,2.24390243902439,.748131576331619
100595,1,5,3,R,1,2,2,1,1,8,1,2,2, ,3,1,1,45,4,2,2,4,2,.666812926730356
100602,1,19,2,U,2,2,2,2,2, , , , , ,3,2,2,89,1,2,1,99,1.46341463414634,.487911897607578
100605,1,17,2,R,1,2,2,2,2,2,2,2,2, ,3,2,2,84,6,2,1,99,1,.333406463365178
100606,1,17,2,U,2,2,2,2,2, , , , , ,3,2,2,70,3,2,2,2,2.78048780487805,.927032605454398
100608,1,55,2,R,2,2,2,2,2, , , , , ,3,2,2,73,6,2,1,3,1.58536585365854,.528571222408209
100610,1,29,2,U,1,2,2,2,2,2,2,2,2, ,1,2,1,54,4,2,1,99,1.85365853658537,.618021736969599
